Year of Y,Measure Names,Measure Values
2000,Transportation And Storage,20930.2
2001,Transportation And Storage,21567.2
2002,Transportation And Storage,21969.5
2003,Transportation And Storage,22836.6
2004,Transportation And Storage,23285.1
2005,Transportation And Storage,24123.4
2006,Transportation And Storage,25159.5
2007,Transportation And Storage,26389.8
2008,Transportation And Storage,27114.3
2009,Transportation And Storage,26628.5
2010,Transportation And Storage,26851.4
2011,Transportation And Storage,27331.2
2012,Transportation And Storage,26888.1
2013,Transportation And Storage,26875
2014,Transportation And Storage,27055
2015,Transportation And Storage,27907.3
2016,Transportation And Storage,28939.9
2017,Transportation And Storage,29799.981818182
2018,Transportation And Storage,30647.127272727
2019,Transportation And Storage,31520.1
2020,Transportation And Storage,28794.5
2021,Transportation And Storage,31146.133333333
2022,Transportation And Storage,32651.866666667
2000,"Public Administration And Defence, Compulsory Social Security",34704
2001,"Public Administration And Defence, Compulsory Social Security",36820.5
2002,"Public Administration And Defence, Compulsory Social Security",38696.9
2003,"Public Administration And Defence, Compulsory Social Security",41787.9
2004,"Public Administration And Defence, Compulsory Social Security",44275.3
2005,"Public Administration And Defence, Compulsory Social Security",45454
2006,"Public Administration And Defence, Compulsory Social Security",47161.6
2007,"Public Administration And Defence, Compulsory Social Security",46913
2008,"Public Administration And Defence, Compulsory Social Security",49029.9
2009,"Public Administration And Defence, Compulsory Social Security",49455
2010,"Public Administration And Defence, Compulsory Social Security",49769.5
2011,"Public Administration And Defence, Compulsory Social Security",49596.5
2012,"Public Administration And Defence, Compulsory Social Security",47981.7
2013,"Public Administration And Defence, Compulsory Social Security",47288.6
2014,"Public Administration And Defence, Compulsory Social Security",46324.1
2015,"Public Administration And Defence, Compulsory Social Security",45858
2016,"Public Administration And Defence, Compulsory Social Security",46614.927272727
2017,"Public Administration And Defence, Compulsory Social Security",46610.763636364
2018,"Public Administration And Defence, Compulsory Social Security",48102.845454545
2019,"Public Administration And Defence, Compulsory Social Security",47450.26
2020,"Public Administration And Defence, Compulsory Social Security",47140.375
2021,"Public Administration And Defence, Compulsory Social Security",46947.4
2022,"Public Administration And Defence, Compulsory Social Security",49918.866666667
2000,"Professional, Scientific And Technical Activities, Administrative And Support Service Activities",18829.9
2001,"Professional, Scientific And Technical Activities, Administrative And Support Service Activities",20702.7
2002,"Professional, Scientific And Technical Activities, Administrative And Support Service Activities",22624.4
2003,"Professional, Scientific And Technical Activities, Administrative And Support Service Activities",23879.6
2004,"Professional, Scientific And Technical Activities, Administrative And Support Service Activities",25173.2
2005,"Professional, Scientific And Technical Activities, Administrative And Support Service Activities",27170.4
2006,"Professional, Scientific And Technical Activities, Administrative And Support Service Activities",28903.7
2007,"Professional, Scientific And Technical Activities, Administrative And Support Service Activities",31080.3
2008,"Professional, Scientific And Technical Activities, Administrative And Support Service Activities",33001
